# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Dec 12 03:47:53 2021
#
# COLUMN toi:            TESS Object of Interest
# COLUMN tid:            TESS Input Catalog ID
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN st_pmra:        PMRA [mas/yr]
# COLUMN st_pmraerr1:    PMRA Upper Unc [mas/yr]
# COLUMN st_pmraerr2:    PMRA Lower Unc [mas/yr]
# COLUMN st_pmralim:     PMRA Limit Flag
# COLUMN st_pmdec:       PMDec [mas/yr]
# COLUMN st_pmdecerr1:   PMDec Upper Unc [mas/yr]
# COLUMN st_pmdecerr2:   PMDec Lower Unc [mas/yr]
# COLUMN st_pmdeclim:    PMDec Limit Flag
# COLUMN pl_tranmid:     Planet Transit Midpoint Value [BJD]
# COLUMN pl_tranmiderr1: Planet Transit Midpoint Upper Unc [BJD]
# COLUMN pl_tranmiderr2: Planit Transit Midpoint Lower Unc [BJD]
# COLUMN pl_tranmidlim:  Planet Transit Midpoint Limit Flag
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_orbpererr1:  Planet Orbital Period Upper Unc [days]
# COLUMN pl_orbpererr2:  Planet Orbital Period Lower Unc [days]
# COLUMN pl_orbperlim:   Planet Orbital Period Limit Flag
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandurherr1: Planet Transit Duration Upper Unc [hours]
# COLUMN pl_trandurherr2: Planet Transit Duration Lower Unc [hours]
# COLUMN pl_trandurhlim: Planet Transit Duration Limit Flag
# COLUMN pl_trandep:     Planet Transit Depth Value [ppm]
# COLUMN pl_trandeperr1: Planet Transit Depth Upper Unc [ppm]
# COLUMN pl_trandeperr2: Planet Transit Depth Lower Unc [ppm]
# COLUMN pl_trandeplim:  Planet Transit Depth Limit Flag
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc [R_Earth]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc [R_Earth]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_insol:       Planet Insolation Value [Earth flux]
# COLUMN pl_insolerr1:   Planet Insolation Upper Unc [Earth flux]
# COLUMN pl_insolerr2:   Planet Insolation Lower Unc [Earth flux]
# COLUMN pl_insollim:    Planet Insolation Limit Flag
# COLUMN pl_eqt:         Planet Equilibrium Temperature Value [K]
# COLUMN pl_eqterr1:     Planet Equilibrium Temperature Upper Unc [K]
# COLUMN pl_eqterr2:     Planet Equilibrium Temperature Lower Unc [K]
# COLUMN pl_eqtlim:      Planet Equilibrium Temperature Limit Flag
# COLUMN st_tmag:        TESS Magnitude
# COLUMN st_tmagerr1:    TESS Magnitude Upper Unc
# COLUMN st_tmagerr2:    TESS Magnitude Lower Unc
# COLUMN st_tmaglim:     TESS Magnitude Limit Flag
# COLUMN st_dist:        Stellar Distance [pc]
# COLUMN st_disterr1:    Stellar Distance Upper Unc [pc]
# COLUMN st_disterr2:    Stellar Distance Lower Unc [pc]
# COLUMN st_distlim:     Stellar Distance Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_tefferr1:    Stellar Effective Termperature Upper Unc [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_logg:        Stellar log(g) Value [cm/s**2]
# COLUMN st_loggerr1:    Stellar log(g) Upper Unc [cm/s**]
# COLUMN st_loggerr2:    Stellar log(g) Lower Unc [cm/s**2]
# COLUMN st_logglim:     Stellar log(g) Limit Flag
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
# COLUMN st_raderr1:     Stellar Radius Upper Unc [R_Sun]
# COLUMN st_raderr2:     Stellar Radius Lower Unc [R_Sun]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN toi_created:    TOI Created Date
# COLUMN rowupdate:      Date Modified
#
toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created,rowupdate
101.01,231663901,KP,21h14m56.88s,318.7370120,-55d52m18.71s,-55.8718630,12.6410000,0.044,-0.044,0,-16.0110000,0.041,-0.041,0,2459036.9041040,0.000393,-0.000393,0,1.4303691,0.0000009,-0.0000009,0,1.6438728,0.0187562,-0.0187562,0,19151.2162143,197.4504900,-197.4504900,0,13.2504933,0.6606899,-0.6606899,0,1281.2417920,,,,1525.9050967,,,,12.4069000,0.006,-0.006,0,375.3100000,4.4110000,-4.4110000,0,5600.0000000,,,0,4.4885100,,,0,0.8907740,0.0438467,-0.0438467,0,2018-09-05 18:49:20,2021-10-29 12:59:15
1010.01,139853601,FP,07h29m10.56s,112.2939810,-21d49m58.48s,-21.8329120,-5.7460000,0.176,-0.176,0,4.5020000,0.261,-0.261,0,2459228.8781010,0.000791,-0.000791,0,0.6808702,0.0000390,-0.0000390,0,2.4634563,0.0557065,-0.0557065,0,1507.8006889,39.9711230,-39.9711230,0,5.9115908,1.5360428,-1.5360428,0,87140.6995884,,,,4382.0266062,,,,8.4508600,0.006,-0.006,0,485.1220000,36.2460000,-36.2460000,0,9438.0000000,782.0000000,-782.0000000,0,,,,0,1.0000000,,,0,2019-07-24 15:58:33,2021-10-29 12:59:15
1011.01,114018671,PC,07h35m56.34s,113.9847610,-32d50m31.2s,-32.8419990,145.1020000,0.046,-0.046,0,-134.9010000,0.052,-0.052,0,2459231.1308440,0.003123,-0.003123,0,2.4696958,0.0005790,-0.0005790,0,2.3244437,0.4268169,-0.4268169,0,233.4371605,24.5225720,-24.5225720,0,1.4549384,1.9059831,-1.9059831,0,555.1966304,,,,1238.0308162,,,,8.2388000,0.006,-0.006,0,52.6200000,0.0793000,-0.0793000,0,5413.7000000,132.8000000,-132.8000000,0,4.4600000,0.0900000,-0.0900000,0,0.9413350,0.0546131,-0.0546131,0,2019-07-24 15:58:33,2021-10-29 12:59:15
1012.01,427508467,PC,07h48m22.87s,117.0952850,+06d47m06.23s,6.7850640,-2.9900000,0.202,-0.202,0,-0.0290000,0.106,-0.106,0,2459252.5095950,0.000369,-0.000369,0,0.8841820,0.0000007,-0.0000007,0,1.6210000,0.0350000,-0.0350000,0,1890.0000000,311.3660000,-311.3660000,0,24.8132000,5.4159900,-5.4159900,0,112144.0000000,,,,5098.0000000,,,,8.1271800,0.006,-0.006,0,295.9590000,11.3150000,-11.3150000,0,8928.0000000,128.7000000,-128.7000000,0,3.9200000,0.0800000,-0.0800000,0,2.7200000,0.1300000,-0.1300000,0,2019-07-24 15:58:33,2021-10-29 12:59:15
1013.01,97700520,FP,07h09m08.66s,107.2860630,-31d56m00.68s,-31.9335230,-3.9730000,0.063,-0.063,0,7.0610000,0.071,-0.071,0,2459232.2483220,0.000512,-0.000512,0,5.4255548,0.0002073,-0.0002073,0,3.9637474,0.0211401,-0.0211401,0,14939.6342222,238.9735400,-238.9735400,0,,,,0,273.5880696,,,,1037.2753045,,,,7.6095000,0.006,-0.006,0,510.2950000,9.3200000,-9.3200000,0,8868.7000000,809.8000000,-809.8000000,0,,,,0,,,,0,2019-07-24 15:58:33,2021-10-29 12:59:15
1014.01,96246348,PC,06h54m14.78s,103.5616020,-34d13m22.15s,-34.2228200,-13.0630000,0.078,-0.078,0,9.7370000,0.141,-0.141,0,2459201.9730100,0.000226,-0.000226,0,1.4095043,0.0000111,-0.0000111,0,1.3502669,0.0148086,-0.0148086,0,3554.1212006,51.1870880,-51.1870880,0,,,,0,1650.4441307,,,,1625.6234538,,,,7.6780000,0.012,-0.012,0,224.6720000,2.8445000,-2.8445000,0,9307.0000000,938.9000000,-938.9000000,0,,,,0,,,,0,2019-07-24 15:58:33,2021-10-29 12:59:15
1015.01,155044736,PC,08h11m35.03s,122.8959640,-27d58m18.83s,-27.9718960,1.5660000,0.052,-0.052,0,-17.9740000,0.053,-0.053,0,2459229.0354060,0.002188,-0.002188,0,1.3734992,0.0002082,-0.0002082,0,1.6528441,0.4043249,-0.4043249,0,1062.6115541,102.0262450,-102.0262450,0,21.9288943,23.9754000,-23.9754000,0,3159.2442220,,,,1912.1217852,,,,10.7069000,0.008,-0.008,0,906.4960000,28.8415000,-28.8415000,0,4897.0000000,122.0000000,-122.0000000,0,,,,0,6.7996100,,,0,2019-04-01 16:51:56,2021-10-29 12:59:15
1016.01,175310067,FP,07h44m26.59s,116.1107710,-36d05m53.83s,-36.0982850,-9.2310000,0.048,-0.048,0,11.6140000,0.052,-0.052,0,2459238.8311380,0.006715,-0.006715,0,12.6889415,0.0095088,-0.0095088,0,7.9201001,0.5393766,-0.5393766,0,3232.8527885,235.2532800,-235.2532800,0,14.0608342,15.2415910,-15.2415910,0,425.1594177,,,,1158.1310368,,,,10.6257000,0.006,-0.006,0,368.6460000,3.7840000,-3.7840000,0,7601.0000000,135.8000000,-135.8000000,0,4.3100000,0.0800000,-0.0800000,0,1.5364100,0.0479799,-0.0479799,0,2019-04-01 16:52:03,2021-10-29 12:59:15
1017.01,182943944,FP,08h18m54.34s,124.7264110,-37d46m59.7s,-37.7832500,-11.2780000,0.045,-0.045,0,9.5930000,0.045,-0.045,0,2458518.9653600,0.001370,-0.001370,0,1.1042200,0.0001300,-0.0001300,0,2.3700000,0.0620000,-0.0620000,0,14177.7000000,843.7880000,-843.7880000,0,21.0448000,5.2201200,-5.2201200,0,39459.3000000,,,,3926.0000000,,,,10.6019000,0.006,-0.006,0,406.9970000,4.7245000,-4.7245000,0,6995.2000000,157.0000000,-157.0000000,0,4.0700000,0.5500000,-0.5500000,0,1.6100000,0.0700000,-0.0700000,0,2019-07-24 17:08:12,2021-10-29 12:59:15
1018.01,291555748,FP,07h26m51.84s,111.7160190,-50d15m59.64s,-50.2665670,-8.0180000,0.049,-0.049,0,11.5600000,0.047,-0.047,0,2458492.7807800,0.000730,-0.000730,0,4.9591200,0.0001600,-0.0001600,0,2.5090000,0.1300000,-0.1300000,0,7440.0000000,197.9620000,-197.9620000,0,22.9123000,3.2805500,-3.2805500,0,673.5500000,,,,1419.0000000,,,,10.6254000,0.006,-0.006,0,360.5410000,2.9645000,-2.9645000,0,5889.0000000,124.3000000,-124.3000000,0,3.8600000,0.0700000,-0.0700000,0,2.0000000,0.0900000,-0.0900000,0,2019-04-01 16:52:01,2021-10-29 12:59:15
1019.01,341420329,PC,08h00m35.52s,120.1479940,-54d52m42.79s,-54.8785520,-11.7320000,0.047,-0.047,0,2.5860000,0.061,-0.061,0,2459232.4467770,0.000216,-0.000216,0,5.2340964,0.0000266,-0.0000266,0,3.6909047,0.0163885,-0.0163885,0,20542.2936714,71.0216140,-71.0216140,0,24.0878820,0.7445164,-0.7445164,0,1453.6680068,,,,1574.8386241,,,,10.6348000,0.006,-0.006,0,399.5440000,4.1635000,-4.1635000,0,7645.0000000,134.4000000,-134.4000000,0,4.3000000,0.0800000,-0.0800000,0,1.5620300,0.0481257,-0.0481257,0,2019-07-24 17:08:12,2021-10-29 12:59:15
102.01,149603524,KP,05h48m33.56s,87.1398210,-63d59m17.98s,-63.9883290,-15.6410000,0.037,-0.037,0,26.0460000,0.037,-0.037,0,2459384.9431220,0.001387,-0.001387,0,4.4119288,0.0000158,-0.0000158,0,3.8940000,0.0800000,-0.0800000,0,14790.0000000,1.0776700,-1.0776700,0,15.2023000,0.6928490,-0.6928490,0,999.8330000,,,,1566.0000000,,,,9.7109000,0.006,-0.006,0,175.6310000,0.5880000,-0.5880000,0,6280.0000000,,,0,4.3209200,,,0,1.2100000,0.0500000,-0.0500000,0,2019-05-07 17:42:37,2021-10-29 12:59:15
1020.01,140706664,FP,08h33m31.67s,128.3819760,-43d49m42.32s,-43.8284210,-5.8140000,0.051,-0.051,0,4.3280000,0.047,-0.047,0,2458521.2910800,0.002410,-0.002410,0,3.2889200,0.0006600,-0.0006600,0,3.7930000,0.2020000,-0.2020000,0,10518.9000000,530.6080000,-530.6080000,0,,,,0,29832.6000000,,,,3661.0000000,,,,10.7173000,0.013,-0.013,0,906.8270000,23.8635000,-23.8635000,0,8734.2000000,283.6000000,-283.6000000,0,4.1000000,1.4500000,-1.4500000,0,,,,0,2019-07-24 17:08:12,2021-10-29 12:59:15
1021.01,143994283,FP,07h57m12.18s,119.3007500,-42d59m56.94s,-42.9991490,-3.2110000,0.046,-0.046,0,-15.0820000,0.051,-0.051,0,2458492.9042900,0.004260,-0.004260,0,1.9087900,0.0003500,-0.0003500,0,1.9090000,0.2310000,-0.2310000,0,618.4820000,1.4377400,-1.4377400,0,3.3468800,0.2177490,-0.2177490,0,985.8070000,,,,1561.0000000,,,,10.5551000,0.006,-0.006,0,235.9740000,1.5790000,-1.5790000,0,6022.6000000,133.5000000,-133.5000000,0,4.5200000,0.3900000,-0.3900000,0,1.2200000,0.0500000,-0.0500000,0,2019-07-24 17:08:12,2021-10-29 12:59:15
1022.01,47384844,PC,10h51m51.58s,162.9649100,-05d47m19.35s,-5.7887080,-15.7870000,0.090,-0.090,0,-11.8490000,0.077,-0.077,0,2458547.4480000,0.008340,-0.008340,0,3.0957400,0.0067700,-0.0067700,0,4.4750000,1.1960000,-1.1960000,0,380.0000000,,,0,3.4262000,0.7787130,-0.7787130,0,18087.9000000,,,,3230.0000000,,,,8.7292400,0.007,-0.007,0,120.6660000,1.0680000,-1.0680000,0,6084.0000000,111.0000000,-111.0000000,0,4.1300000,0.3000000,-0.3000000,0,1.4100000,0.0500000,-0.0500000,0,2019-06-04 14:32:44,2021-12-07 16:02:02
1023.01,238374636,FP,08h03m21.05s,120.8376880,-51d20m44.25s,-51.3456260,-23.3660000,0.042,-0.042,0,22.6520000,0.040,-0.040,0,2459303.3039690,0.003015,-0.003015,0,1.3214483,0.0000231,-0.0000231,0,3.4350000,0.0710000,-0.0710000,0,2180.0000000,137.9460000,-137.9460000,0,21.8839000,4.0147500,-4.0147500,0,35623.2000000,,,,3827.0000000,,,,9.6970000,0.006,-0.006,0,316.3980000,2.2470000,-2.2470000,0,5050.8000000,86.8000000,-86.8000000,0,3.5600000,0.4000000,-0.4000000,0,2.9900000,0.1500000,-0.1500000,0,2019-07-24 18:44:12,2021-12-07 16:02:02
1024.01,141482386,FP,05h47m16.97s,86.8207140,-72d25m21.4s,-72.4226110,1.1280000,0.044,-0.044,0,11.5630000,0.047,-0.047,0,2458339.7227600,0.005920,-0.005920,0,18.0157000,0.0001500,-0.0001500,0,2.5240000,0.4030000,-0.4030000,0,610.0000000,1.6631700,-1.6631700,0,21.6440000,,,0,7.6436400,,,,463.0000000,,,,10.0814000,0.006,-0.006,0,692.2660000,12.1130000,-12.1130000,0,4709.0000000,122.0000000,-122.0000000,0,,,,0,7.6100000,,,0,2019-07-24 18:44:12,2021-10-29 12:59:15
1025.01,297967252,PC,09h30m05.08s,142.5211590,-51d31m01.61s,-51.5171140,-19.1530000,0.168,-0.168,0,11.0460000,0.178,-0.178,0,2458545.1498960,0.000100,-0.000100,0,9.6837920,0.0000024,-0.0000024,0,2.3975780,0.0106804,-0.0106804,0,4245.2906158,20.5652730,-20.5652730,0,,,,0,3176.3107352,,,,1914.6989326,,,,5.5324000,0.006,-0.006,0,129.8380000,1.7130000,-1.7130000,0,8598.7000000,1245.7000000,-1245.7000000,0,,,,0,,,,0,2019-07-24 18:44:12,2021-10-29 12:59:15
